client_id,company_name,industry,country_id
CLI000000,Gutierrez Ltd,Finance,AU
CLI000001,Vega-Torres,Consulting,US
CLI000002,Parker-Navarro,Consulting,BR
CLI000003,Sharp PLC,Healthcare,CA
CLI000004,Campbell Ltd,Retail,FR
CLI000005,Jenkins-Ware,Technology,AU
CLI000006,Bradley and Sons,Consulting,CA
CLI000007,Jackson Group,Consulting,FR
CLI000008,Humphrey and Sons,Healthcare,UK
CLI000009,Miller-Medina,Technology,JP
CLI000010,Waters-Miller,Manufacturing,IN
CLI000011,Williams-Robbins,Consulting,US
CLI000012,Stewart-Banks,Technology,ZA
CLI000013,"Powell, Mercado and West",Retail,CA
CLI000014,Perez Inc,Retail,BR
CLI000015,"Turner, Tyler and Mendez",Retail,DE
CLI000016,"Garcia, Weber and Holt",Consulting,US
CLI000017,Christian-Vaughan,Consulting,CA
CLI000018,"Zuniga, Knight and Kirby",Healthcare,DE
CLI000019,Myers-Pearson,Manufacturing,AU
CLI000020,Brown Group,Retail,DE
CLI000021,"Bennett, Rodriguez and Smith",Finance,AU
CLI000022,Chambers LLC,Consulting,AU
CLI000023,Todd-Cooper,Manufacturing,CA
CLI000024,Mcknight-Mcdonald,Retail,BR
CLI000025,Wright Group,Healthcare,CA
CLI000026,"Kim, Garcia and Johnson",Retail,UK
CLI000027,Wade-Carpenter,Consulting,UK
CLI000028,"Walker, Berg and Mccullough",Manufacturing,AU
CLI000029,"Wright, Allen and Thompson",Technology,UK
CLI000030,"Baker, Bishop and Wallace",Technology,IN
CLI000031,Blair-Ortiz,Technology,BR
CLI000032,Hartman and Sons,Healthcare,IN
CLI000033,Davis Inc,Finance,UK
CLI000034,Washington-Lewis,Finance,ZA
CLI000035,Bailey-Wolf,Technology,UK
CLI000036,Jones and Sons,Consulting,US
CLI000037,Oneal-Wells,Consulting,US
CLI000038,Rodriguez-Rose,Manufacturing,AU
CLI000039,"Smith, Callahan and Sharp",Finance,UK
CLI000040,Fields-Leach,Consulting,ZA
CLI000041,"Lopez, Pollard and Bennett",Consulting,FR
CLI000042,Allen-Wood,Consulting,AU
CLI000043,Massey PLC,Manufacturing,UK
CLI000044,Jackson-Weber,Technology,UK
CLI000045,Stafford-Lewis,Finance,IN
CLI000046,Taylor Inc,Finance,UK
CLI000047,"Schaefer, Munoz and Mccarty",Consulting,UK
CLI000048,"Thomas, Green and Carroll",Technology,UK
CLI000049,Ware LLC,Consulting,DE
CLI000050,Williams-Russell,Finance,BR
CLI000051,Fisher Group,Consulting,US
CLI000052,"Brown, Brooks and Randall",Retail,UK
CLI000053,Dennis-Meyers,Consulting,AU
CLI000054,Jimenez and Sons,Finance,JP
CLI000055,Alvarado-Barnett,Finance,FR
CLI000056,Wood Group,Manufacturing,FR
CLI000057,Murphy Inc,Retail,IN
CLI000058,Burnett-Shaffer,Consulting,CA
CLI000059,Thomas Group,Technology,ZA
CLI000060,Lutz Inc,Finance,FR
CLI000061,Garcia-Reed,Technology,JP
CLI000062,"Ballard, Hicks and Martin",Finance,UK
CLI000063,"Zimmerman, Young and White",Healthcare,BR
CLI000064,Dennis-Kelley,Manufacturing,IN
CLI000065,Johnson-Barker,Finance,ZA
CLI000066,Barr-Thompson,Consulting,UK
CLI000067,Jordan Group,Finance,UK
CLI000068,Bautista LLC,Healthcare,IN
CLI000069,Short LLC,Finance,BR
CLI000070,Diaz Inc,Consulting,DE
CLI000071,Thompson-Hunt,Healthcare,ZA
CLI000072,Palmer-Briggs,Retail,ZA
CLI000073,Hays and Sons,Consulting,JP
CLI000074,"Griffin, Boone and Harris",Finance,CA
CLI000075,"Stewart, Moore and Morton",Healthcare,DE
CLI000076,"Brown, Fox and Williams",Consulting,AU
CLI000077,Harris-Barnes,Manufacturing,BR
CLI000078,"Johnson, Tucker and Johnson",Consulting,US
CLI000079,Castro Inc,Healthcare,CA
CLI000080,Graves-Gutierrez,Technology,IN
CLI000081,Ibarra-Webb,Technology,US
CLI000082,Murillo Inc,Healthcare,FR
CLI000083,Garrison LLC,Manufacturing,US
CLI000084,Perez PLC,Technology,DE
CLI000085,Pollard-Carson,Technology,FR
CLI000086,"Walsh, Mcguire and Barker",Healthcare,UK
CLI000087,Hays-Martinez,Healthcare,ZA
CLI000088,"King, Coleman and Anthony",Consulting,ZA
CLI000089,"Waters, Martinez and Johnson",Manufacturing,UK
CLI000090,Parker and Sons,Consulting,CA
CLI000091,Hall-Coleman,Retail,AU
CLI000092,Henry-Brown,Consulting,AU
CLI000093,Shah-Keith,Healthcare,FR
CLI000094,"Townsend, Lambert and Hall",Healthcare,FR
CLI000095,Stone-Jones,Healthcare,FR
CLI000096,Morris Ltd,Consulting,JP
CLI000097,Mason-Meyer,Finance,BR
CLI000098,Roberts Group,Finance,ZA
CLI000099,Freeman-Taylor,Consulting,US
CLI000100,Lewis Inc,Retail,AU
CLI000101,Church PLC,Retail,FR
CLI000102,"Mullins, Branch and Lee",Retail,AU
CLI000103,Moore-Perez,Retail,FR
CLI000104,Weiss Group,Finance,FR
CLI000105,Lopez and Sons,Consulting,IN
CLI000106,Munoz-Rivas,Retail,DE
CLI000107,Thompson PLC,Finance,US
CLI000108,Donovan Group,Retail,AU
CLI000109,Lee-Garcia,Retail,IN
CLI000110,Newton Inc,Technology,AU
CLI000111,Moore Ltd,Consulting,DE
CLI000112,Sanchez LLC,Finance,IN
CLI000113,"Valdez, Benson and Coleman",Finance,ZA
CLI000114,Doyle PLC,Technology,BR
CLI000115,"Jacobs, Torres and Brown",Retail,US
CLI000116,King-Cruz,Finance,FR
CLI000117,"Fitzpatrick, Martinez and Singh",Healthcare,CA
CLI000118,"Burton, Tran and Jordan",Technology,BR
CLI000119,Stone-Bailey,Retail,FR
CLI000120,Flynn Inc,Healthcare,IN
CLI000121,Hood Group,Healthcare,JP
CLI000122,Smith-Berg,Finance,BR
CLI000123,"Terry, Kennedy and Jones",Manufacturing,FR
CLI000124,"Jordan, Potts and Watkins",Retail,FR
CLI000125,"Graham, Conrad and Johnson",Finance,DE
CLI000126,Clayton-Reed,Consulting,FR
CLI000127,"Garcia, Gilbert and Martin",Healthcare,US
CLI000128,"Scott, Sanford and Roth",Technology,UK
CLI000129,"Meyer, Friedman and James",Consulting,AU
CLI000130,Hernandez-Munoz,Manufacturing,FR
CLI000131,Berry-Thompson,Finance,CA
CLI000132,Walter-Montgomery,Manufacturing,BR
CLI000133,Gutierrez-Sanders,Finance,FR
CLI000134,"Proctor, Browning and Hart",Retail,DE
CLI000135,Flores Ltd,Healthcare,US
CLI000136,Thomas-West,Healthcare,IN
CLI000137,Henderson Group,Consulting,CA
CLI000138,Jacobs Ltd,Retail,ZA
CLI000139,Cox Group,Technology,ZA
CLI000140,Nelson Group,Finance,ZA
CLI000141,"Deleon, Martinez and Fields",Healthcare,JP
CLI000142,Lloyd Ltd,Consulting,AU
CLI000143,Fox and Sons,Consulting,AU
CLI000144,"Wiggins, Powell and Kelly",Healthcare,IN
CLI000145,Schultz PLC,Retail,ZA
CLI000146,Knight-George,Technology,UK
CLI000147,Harris LLC,Healthcare,FR
CLI000148,"Wilson, Hanson and Mack",Finance,DE
CLI000149,Robinson-Medina,Healthcare,BR
CLI000150,"Decker, Bailey and Mckay",Healthcare,BR
CLI000151,"Mcintyre, Stone and Bryant",Healthcare,FR
CLI000152,"Jones, Chen and Rivas",Healthcare,JP
CLI000153,"Green, Wang and Freeman",Healthcare,ZA
CLI000154,Delgado and Sons,Finance,BR
CLI000155,"Smith, Curry and Ortiz",Consulting,AU
CLI000156,"Santiago, Wright and Bryant",Finance,ZA
CLI000157,"Lambert, Hooper and Strickland",Manufacturing,ZA
CLI000158,Black and Sons,Finance,BR
CLI000159,Robertson LLC,Manufacturing,FR
CLI000160,"Sampson, Guzman and Nguyen",Technology,FR
CLI000161,Fisher Ltd,Manufacturing,AU
CLI000162,Frazier Group,Retail,UK
CLI000163,Thompson-Nichols,Manufacturing,IN
CLI000164,Lloyd-Callahan,Technology,AU
CLI000165,"Kelly, Hunt and Moore",Retail,JP
CLI000166,Perkins-Smith,Manufacturing,FR
