audit_id,employee_id,regulation_id,check_date,result,violation_details
AUD000000,EMP004843,REG000117,2024-02-01,pass,
AUD000001,EMP001156,REG000415,2024-12-20,pass,
AUD000002,EMP002983,REG001615,2024-05-22,pass,
AUD000003,EMP000424,REG000622,2024-12-08,pass,
AUD000004,EMP002769,REG001176,2024-03-11,fail,Violation in Payroll Reporting
AUD000005,EMP005608,REG000970,2024-08-18,fail,Violation in Overtime Pay
AUD000006,EMP005970,REG001307,2024-07-01,fail,Violation in Income Tax
AUD000007,EMP003518,REG002767,2023-10-23,pass,
AUD000008,EMP003809,REG000342,2024-09-28,fail,Violation in Income Tax
AUD000009,EMP003895,REG001599,2025-01-27,fail,Violation in Employee Benefits
AUD000010,EMP002444,REG001479,2024-06-19,pass,
AUD000011,EMP001724,REG000530,2024-05-24,fail,Violation in Employee Benefits
AUD000012,EMP004219,REG000905,2024-04-15,pass,
AUD000013,EMP000979,REG000404,2024-07-23,fail,Violation in Social Security
AUD000014,EMP006570,REG001684,2024-11-02,fail,Violation in Employee Benefits
AUD000015,EMP001479,REG000117,2023-08-17,fail,Violation in Minimum Wage
AUD000016,EMP003071,REG001594,2025-02-09,pass,
AUD000017,EMP001333,REG000440,2025-03-28,fail,Violation in Employee Benefits
AUD000018,EMP006639,REG002693,2025-01-30,fail,Violation in Overtime Pay
AUD000019,EMP006768,REG001794,2024-09-02,fail,Violation in Payroll Reporting
AUD000020,EMP000006,REG000808,2024-11-19,fail,Violation in Payroll Reporting
AUD000021,EMP006748,REG001349,2023-08-03,fail,Violation in Social Security
AUD000022,EMP000112,REG001770,2024-05-14,pass,
AUD000023,EMP005957,REG002264,2025-03-01,pass,
AUD000024,EMP003789,REG000829,2024-04-16,pass,
AUD000025,EMP004591,REG002672,2024-08-18,fail,Violation in Employee Benefits
AUD000026,EMP006403,REG002759,2023-09-25,pass,
AUD000027,EMP004751,REG000756,2024-11-01,fail,Violation in Overtime Pay
AUD000028,EMP003179,REG002593,2024-01-20,pass,
AUD000029,EMP000802,REG000147,2024-06-01,fail,Violation in Employee Benefits
AUD000030,EMP005180,REG001650,2024-01-09,pass,
AUD000031,EMP004343,REG001744,2024-03-19,fail,Violation in Payroll Reporting
AUD000032,EMP002552,REG000945,2024-06-01,pass,
AUD000033,EMP002572,REG000796,2024-11-25,pass,
AUD000034,EMP006117,REG002176,2024-07-29,pass,
AUD000035,EMP002085,REG000506,2024-04-18,fail,Violation in Employee Benefits
AUD000036,EMP006790,REG001083,2024-06-24,fail,Violation in Income Tax
