payment_id,employee_id,client_id,country_id,tax_rule_id,gross_pay,tax_amount,net_pay,currency,payment_date,status,compliance_status,started_at,completed_at
PAY000000,EMP000336,CLI003383,FR,REG001217,124086,13649,110437,EUR,2024-02-29,pending,Non-Compliant,2024-02-29 00:00:00,
PAY000001,EMP004879,CLI004926,DE,REG001774,805469,128875,676594,EUR,2024-12-04,pending,Non-Compliant,2024-12-04 00:00:00,
PAY000002,EMP005716,CLI004164,JP,REG001259,874848,157473,717375,JPY,2023-08-26,pending,Non-Compliant,2023-08-26 00:00:00,
PAY000003,EMP004184,CLI001249,BR,REG000399,557011,0,557011,BRL,2023-12-27,completed,Compliant,2023-12-27 00:00:00,2023-12-27 01:27:08
PAY000004,EMP003658,CLI003702,UK,REG002207,370023,99906,270117,GBP,2025-02-02,pending,Non-Compliant,2025-02-02 00:00:00,
PAY000005,EMP005141,CLI004705,US,REG002665,344358,0,344358,USD,2025-03-27,pending,Non-Compliant,2025-03-27 00:00:00,
PAY000006,EMP001473,CLI000962,JP,REG002109,891446,276348,615098,JPY,2024-11-27,pending,Non-Compliant,2024-11-27 00:00:00,
PAY000007,EMP001033,CLI002363,UK,REG001153,502640,0,502640,GBP,2024-10-07,failed,Non-Compliant,2024-10-07 00:00:00,
PAY000008,EMP006034,CLI000315,ZA,REG002737,534275,64113,470162,ZAR,2025-03-25,completed,Compliant,2025-03-25 00:00:00,2025-03-25 00:59:34
PAY000009,EMP000139,CLI002983,CA,REG002347,739625,125736,613889,CAD,2024-01-20,completed,Compliant,2024-01-20 00:00:00,2024-01-20 01:45:39
PAY000010,EMP004913,CLI004662,IN,REG001474,848915,0,848915,INR,2023-08-16,failed,Non-Compliant,2023-08-16 00:00:00,
PAY000011,EMP005636,CLI000864,US,REG002244,906749,0,906749,USD,2024-11-27,pending,Non-Compliant,2024-11-27 00:00:00,
