regulation_id,country_id,rule_type,description,effective_date,end_date,is_active,tax_rate,compliance_category
REG000000,BR,Employee Benefits,Employee Benefits regulation for Brazil in 2025,2025-05-19,9999-12-31,True,,Payroll Reporting
REG000001,AU,Overtime Pay,Overtime Pay regulation for Australia in 2024,2024-01-10,2024-09-05,False,,Payroll Reporting
REG000002,FR,Payroll Reporting,Payroll Reporting regulation for France in 2024,2024-10-26,2026-09-17,False,,Payroll Reporting
REG000003,AU,Minimum Wage,Minimum Wage regulation for Australia in 2023,2023-09-13,2024-08-20,False,,Labor Law
REG000004,UK,Payroll Reporting,Payroll Reporting regulation for United Kingdom in 2024,2024-05-03,9999-12-31,True,,Taxation
REG000005,JP,Minimum Wage,Minimum Wage regulation for Japan in 2024,2024-02-25,9999-12-31,True,,Taxation
REG000006,FR,Social Security,Social Security regulation for France in 2023,2023-08-29,2024-07-07,False,0.24,Taxation
REG000007,IN,Income Tax,Income Tax regulation for India in 2024,2024-09-12,9999-12-31,True,0.15,Payroll Reporting
REG000008,IN,Overtime Pay,Overtime Pay regulation for India in 2024,2024-02-15,9999-12-31,True,,Taxation
REG000009,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2023,2023-08-05,2025-06-16,False,,Labor Law
REG000010,ZA,Income Tax,Income Tax regulation for South Africa in 2023,2023-06-07,2024-03-22,False,0.23,Taxation
REG000011,CA,Social Security,Social Security regulation for Canada in 2023,2023-06-19,2024-04-10,False,0.19,Payroll Reporting
REG000012,DE,Payroll Reporting,Payroll Reporting regulation for Germany in 2024,2024-10-15,9999-12-31,True,,Taxation
REG000013,AU,Social Security,Social Security regulation for Australia in 2024,2024-07-12,9999-12-31,True,0.35,Payroll Reporting
REG000014,US,Social Security,Social Security regulation for United States in 2023,2023-09-12,9999-12-31,True,0.16,Taxation
REG000015,DE,Payroll Reporting,Payroll Reporting regulation for Germany in 2024,2024-01-16,9999-12-31,True,,Taxation
REG000016,CA,Social Security,Social Security regulation for Canada in 2024,2024-02-04,2025-05-04,False,0.25,Taxation
REG000017,US,Overtime Pay,Overtime Pay regulation for United States in 2025,2025-02-26,9999-12-31,True,,Payroll Reporting
REG000018,US,Income Tax,Income Tax regulation for United States in 2025,2025-01-09,9999-12-31,True,0.24,Taxation
REG000019,BR,Income Tax,Income Tax regulation for Brazil in 2024,2024-05-26,2025-06-08,False,0.23,Taxation
REG000020,AU,Employee Benefits,Employee Benefits regulation for Australia in 2023,2023-07-19,9999-12-31,True,,Taxation
REG000021,CA,Payroll Reporting,Payroll Reporting regulation for Canada in 2023,2023-12-12,9999-12-31,True,,Taxation
REG000022,IN,Overtime Pay,Overtime Pay regulation for India in 2024,2024-05-23,2025-05-25,False,,Labor Law
REG000023,CA,Overtime Pay,Overtime Pay regulation for Canada in 2024,2024-04-07,9999-12-31,True,,Taxation
REG000024,FR,Social Security,Social Security regulation for France in 2025,2025-04-23,9999-12-31,True,0.27,Labor Law
REG000025,DE,Social Security,Social Security regulation for Germany in 2024,2024-02-03,9999-12-31,True,0.26,Payroll Reporting
REG000026,US,Employee Benefits,Employee Benefits regulation for United States in 2025,2025-03-07,9999-12-31,True,,Labor Law
REG000027,AU,Minimum Wage,Minimum Wage regulation for Australia in 2025,2025-05-09,9999-12-31,True,,Taxation
REG000028,IN,Minimum Wage,Minimum Wage regulation for India in 2023,2023-08-05,2024-05-22,False,,Payroll Reporting
REG000029,ZA,Social Security,Social Security regulation for South Africa in 2024,2024-01-10,9999-12-31,True,0.14,Payroll Reporting
REG000030,IN,Overtime Pay,Overtime Pay regulation for India in 2024,2024-05-27,9999-12-31,True,,Payroll Reporting
REG000031,UK,Social Security,Social Security regulation for United Kingdom in 2024,2024-09-29,9999-12-31,True,0.35,Taxation
REG000032,AU,Employee Benefits,Employee Benefits regulation for Australia in 2024,2024-09-15,9999-12-31,True,,Labor Law
REG000033,ZA,Overtime Pay,Overtime Pay regulation for South Africa in 2023,2023-10-06,9999-12-31,True,,Taxation
REG000034,DE,Employee Benefits,Employee Benefits regulation for Germany in 2023,2023-11-13,2025-08-17,False,,Labor Law
REG000035,AU,Social Security,Social Security regulation for Australia in 2025,2025-01-08,9999-12-31,True,0.24,Taxation
REG000036,JP,Employee Benefits,Employee Benefits regulation for Japan in 2024,2024-04-14,2025-10-10,False,,Taxation
REG000037,ZA,Overtime Pay,Overtime Pay regulation for South Africa in 2024,2024-11-19,2026-06-04,False,,Taxation
REG000038,FR,Employee Benefits,Employee Benefits regulation for France in 2023,2023-08-23,9999-12-31,True,,Payroll Reporting
REG000039,JP,Overtime Pay,Overtime Pay regulation for Japan in 2024,2024-06-03,2024-12-02,False,,Labor Law
REG000040,FR,Minimum Wage,Minimum Wage regulation for France in 2024,2024-12-11,2025-07-01,False,,Taxation
REG000041,US,Payroll Reporting,Payroll Reporting regulation for United States in 2024,2024-12-30,9999-12-31,True,,Payroll Reporting
REG000042,UK,Payroll Reporting,Payroll Reporting regulation for United Kingdom in 2024,2024-02-25,9999-12-31,True,,Payroll Reporting
REG000043,US,Social Security,Social Security regulation for United States in 2025,2025-03-10,9999-12-31,True,0.16,Taxation
REG000044,AU,Minimum Wage,Minimum Wage regulation for Australia in 2023,2023-12-19,9999-12-31,True,,Payroll Reporting
REG000045,US,Minimum Wage,Minimum Wage regulation for United States in 2023,2023-10-15,2024-05-17,False,,Payroll Reporting
REG000046,BR,Social Security,Social Security regulation for Brazil in 2025,2025-03-24,9999-12-31,True,0.37,Labor Law
REG000047,BR,Social Security,Social Security regulation for Brazil in 2023,2023-09-14,9999-12-31,True,0.15,Taxation
REG000048,BR,Minimum Wage,Minimum Wage regulation for Brazil in 2024,2024-03-18,9999-12-31,True,,Taxation
REG000049,IN,Minimum Wage,Minimum Wage regulation for India in 2024,2024-06-13,2025-11-27,False,,Taxation
REG000050,UK,Payroll Reporting,Payroll Reporting regulation for United Kingdom in 2023,2023-06-30,9999-12-31,True,,Labor Law
REG000051,CA,Minimum Wage,Minimum Wage regulation for Canada in 2024,2024-12-29,9999-12-31,True,,Taxation
REG000052,DE,Payroll Reporting,Payroll Reporting regulation for Germany in 2025,2025-02-01,9999-12-31,True,,Payroll Reporting
REG000053,JP,Payroll Reporting,Payroll Reporting regulation for Japan in 2023,2023-07-19,2024-08-15,False,,Payroll Reporting
REG000054,BR,Social Security,Social Security regulation for Brazil in 2024,2024-08-15,9999-12-31,True,0.36,Labor Law
REG000055,BR,Overtime Pay,Overtime Pay regulation for Brazil in 2025,2025-01-07,9999-12-31,True,,Taxation
REG000056,ZA,Overtime Pay,Overtime Pay regulation for South Africa in 2023,2023-12-27,9999-12-31,True,,Taxation
REG000057,JP,Income Tax,Income Tax regulation for Japan in 2023,2023-11-24,2025-01-13,False,0.14,Labor Law
REG000058,CA,Income Tax,Income Tax regulation for Canada in 2024,2024-05-15,9999-12-31,True,0.36,Taxation
REG000059,FR,Minimum Wage,Minimum Wage regulation for France in 2024,2024-07-04,2025-11-16,False,,Payroll Reporting
REG000060,ZA,Payroll Reporting,Payroll Reporting regulation for South Africa in 2024,2024-09-28,9999-12-31,True,,Taxation
REG000061,UK,Social Security,Social Security regulation for United Kingdom in 2024,2024-08-31,9999-12-31,True,0.39,Labor Law
REG000062,BR,Income Tax,Income Tax regulation for Brazil in 2024,2024-12-06,2026-09-17,False,0.19,Labor Law
REG000063,CA,Social Security,Social Security regulation for Canada in 2023,2023-11-05,9999-12-31,True,0.37,Labor Law
REG000064,IN,Payroll Reporting,Payroll Reporting regulation for India in 2023,2023-12-22,2024-09-22,False,,Payroll Reporting
REG000065,BR,Overtime Pay,Overtime Pay regulation for Brazil in 2024,2024-02-04,2024-11-10,False,,Payroll Reporting
REG000066,IN,Social Security,Social Security regulation for India in 2025,2025-03-15,9999-12-31,True,0.22,Taxation
REG000067,BR,Income Tax,Income Tax regulation for Brazil in 2023,2023-12-19,2025-07-02,False,0.17,Labor Law
REG000068,IN,Overtime Pay,Overtime Pay regulation for India in 2024,2024-10-19,2026-08-14,False,,Labor Law
REG000069,IN,Employee Benefits,Employee Benefits regulation for India in 2023,2023-08-18,2024-10-28,False,,Labor Law
REG000070,UK,Social Security,Social Security regulation for United Kingdom in 2024,2024-07-21,9999-12-31,True,0.37,Labor Law
REG000071,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2023,2023-08-29,9999-12-31,True,,Taxation
REG000072,US,Payroll Reporting,Payroll Reporting regulation for United States in 2023,2023-08-19,9999-12-31,True,,Payroll Reporting
REG000073,JP,Minimum Wage,Minimum Wage regulation for Japan in 2024,2024-11-10,2025-09-26,False,,Labor Law
REG000074,US,Social Security,Social Security regulation for United States in 2023,2023-12-02,9999-12-31,True,0.31,Taxation
REG000075,AU,Employee Benefits,Employee Benefits regulation for Australia in 2023,2023-11-29,9999-12-31,True,,Labor Law
REG000076,AU,Income Tax,Income Tax regulation for Australia in 2024,2024-03-12,2024-12-13,False,0.18,Payroll Reporting
REG000077,IN,Income Tax,Income Tax regulation for India in 2024,2024-09-01,9999-12-31,True,0.19,Payroll Reporting
REG000078,US,Payroll Reporting,Payroll Reporting regulation for United States in 2023,2023-06-08,2025-04-14,False,,Payroll Reporting
REG000079,FR,Employee Benefits,Employee Benefits regulation for France in 2023,2023-11-29,9999-12-31,True,,Labor Law
REG000080,FR,Payroll Reporting,Payroll Reporting regulation for France in 2024,2024-11-29,9999-12-31,True,,Labor Law
REG000081,CA,Social Security,Social Security regulation for Canada in 2024,2024-10-20,9999-12-31,True,0.39,Payroll Reporting
